country,zone,date_MMYY,households,tests_chlorine,tests_ecoli,tests_conducted_chlorine,test_conducted_ecoli,test_passed_chlorine,tests_passed_ecoli,w_supplied,total_consumption,metered,ww_capacity
cameroon,Yaounde 5,May/20,33711,100,200,93,191,77,175,308153.00,669845.00,47900.00,24663.00
cameroon,Yaounde 5,Jun/20,33711,150,150,144,126,140,108,148918.00,329130.00,43945.00,30301.00
cameroon,Yaounde 5,Jul/20,33711,150,100,145,71,139,68,202500.00,491129.00,45531.00,94062.00
cameroon,Yaounde 5,Aug/20,33711,100,150,73,130,62,119,303423.00,695642.00,45477.00,94031.00
cameroon,Yaounde 5,Sep/20,33711,100,100,82,72,70,65,145536.00,340673.00,33964.00,38748.00
cameroon,Yaounde 5,Oct/20,33711,200,200,160,197,156,179,345791.00,693564.00,42244.00,46125.00
cameroon,Yaounde 5,Nov/20,33711,150,150,108,146,103,124,260425.00,642729.00,44506.00,6279.00
cameroon,Yaounde 5,Dec/20,33711,150,150,111,109,101,92,398070.00,833648.00,37333.00,24072.00
cameroon,Yaounde 6,Jan/20,61508,150,150,123,109,106,105,466542.00,1090031.00,83619.00,35148.00
cameroon,Yaounde 6,Feb/20,61508,200,150,172,112,143,106,461646.00,1097236.00,68692.00,45798.00
cameroon,Yaounde 6,Mar/20,61508,100,150,100,107,91,101,373638.00,879898.00,75638.00,24851.00
cameroon,Yaounde 6,Apr/20,61508,200,150,200,125,189,124,153168.00,350687.00,72433.00,9971.00
cameroon,Yaounde 6,May/20,61508,200,100,145,80,123,69,325000.00,695048.00,68830.00,41001.00
cameroon,Yaounde 6,Jun/20,61508,100,100,77,80,64,75,476042.00,1134137.00,62307.00,57983.00
cameroon,Yaounde 6,Jul/20,61508,200,200,178,161,166,145,305472.00,672289.00,85410.00,43723.00
cameroon,Yaounde 6,Aug/20,61508,100,150,99,130,92,112,439027.00,930449.00,69626.00,14653.00
cameroon,Yaounde 6,Sep/20,61508,200,200,174,144,140,129,356265.00,879052.00,64229.00,10369.00
cameroon,Yaounde 6,Oct/20,61508,100,100,88,85,73,71,450784.00,1082744.00,81424.00,52691.00
cameroon,Yaounde 6,Nov/20,61508,150,150,112,138,97,122,283358.00,575195.00,77482.00,22409.00
cameroon,Yaounde 6,Dec/20,61508,150,200,136,193,115,176,113273.00,243834.00,82644.00,35608.00
cameroon,Yaounde 7,Jan/20,35264,100,150,88,145,77,144,439604.00,1073490.00,27500.00,73809.00
cameroon,Yaounde 7,Feb/20,35264,100,100,96,94,93,87,194931.00,455856.00,32080.00,49421.00
cameroon,Yaounde 7,Mar/20,35264,100,100,96,83,83,77,144311.00,319195.00,32597.00,20740.00
cameroon,Yaounde 7,Apr/20,35264,100,100,96,84,83,74,416435.00,938461.00,29107.00,46806.00
cameroon,Yaounde 7,May/20,35264,150,200,144,147,125,135,296605.00,602893.00,39296.00,36974.00
cameroon,Yaounde 7,Jun/20,35264,200,150,157,118,151,108,188997.00,453249.00,39512.00,46877.00
cameroon,Yaounde 7,Jul/20,35264,100,100,93,87,88,87,447002.00,952276.00,33001.00,27453.00
cameroon,Yaounde 7,Aug/20,35264,150,200,136,154,114,125,343099.00,732132.00,34809.00,64589.00
cameroon,Yaounde 7,Sep/20,35264,100,200,93,194,75,181,376129.00,867296.00,30789.00,56624.00
cameroon,Yaounde 7,Oct/20,35264,150,200,150,192,144,156,405397.00,987275.00,29684.00,58966.00
cameroon,Yaounde 7,Nov/20,35264,200,200,169,141,146,114,334661.00,697862.00,30875.00,64146.00
cameroon,Yaounde 7,Dec/20,35264,200,100,182,95,148,80,198330.00,432437.00,32945.00,43262.00
cameroon,Yaounde 1,Jan/21,255602,200,100,145,71,131,57,192801.00,446994.00,247850.00,36607.00
cameroon,Yaounde 1,Feb/21,255602,100,100,93,78,86,76,129253.00,296736.00,264286.00,9885.00
cameroon,Yaounde 1,Mar/21,255602,150,200,130,163,118,133,461963.00,988274.00,227357.00,35695.00
cameroon,Yaounde 1,Apr/21,255602,200,150,147,139,134,130,324607.00,697164.00,212271.00,31531.00
cameroon,Yaounde 1,May/21,255602,150,100,127,82,102,78,162662.00,373440.00,221501.00,37014.00
cameroon,Yaounde 1,Jun/21,255602,150,150,144,112,123,101,238411.00,540668.00,216765.00,10214.00
cameroon,Yaounde 1,Jul/21,255602,150,150,127,117,109,103,232882.00,557980.00,202691.00,11518.00
cameroon,Yaounde 1,Aug/21,255602,200,200,190,181,184,152,387872.00,779371.00,250808.00,28397.00
cameroon,Yaounde 1,Sep/21,255602,100,100,95,96,95,87,326953.00,766553.00,242140.00,60663.00
cameroon,Yaounde 1,Oct/21,255602,200,150,191,140,156,119,174786.00,400613.00,274322.00,35395.00
cameroon,Yaounde 1,Nov/21,255602,150,100,136,77,126,63,293350.00,708027.00,267339.00,50731.00
cameroon,Yaounde 1,Dec/21,255602,100,100,71,70,68,68,164227.00,329639.00,289655.00,45366.00
cameroon,Yaounde 2,Jan/21,106777,100,200,72,159,65,158,118446.00,269799.00,117649.00,24718.00
cameroon,Yaounde 2,Feb/21,106777,100,150,71,135,60,113,486764.00,1138600.00,103287.00,13473.00
cameroon,Yaounde 2,Mar/21,106777,100,150,80,128,79,104,467396.00,1050455.00,135019.00,63020.00
cameroon,Yaounde 2,Apr/21,106777,200,100,162,89,130,85,187015.00,396956.00,105844.00,40723.00
cameroon,Yaounde 2,May/21,106777,150,100,120,76,111,70,341202.00,713203.00,96985.00,61209.00
cameroon,Yaounde 2,Jun/21,106777,150,200,129,162,117,159,216938.00,486303.00,120710.00,26488.00
cameroon,Yaounde 2,Jul/21,106777,100,150,71,146,64,129,231939.00,488598.00,126458.00,65706.00
cameroon,Yaounde 2,Aug/21,106777,200,100,167,95,145,87,321397.00,690738.00,97456.00,4295.00
cameroon,Yaounde 2,Sep/21,106777,200,200,143,172,119,142,172225.00,410986.00,130797.00,19090.00
cameroon,Yaounde 2,Oct/21,106777,150,200,132,176,124,152,260896.00,554477.00,97208.00,26798.00
cameroon,Yaounde 2,Nov/21,106777,150,200,107,150,98,137,117403.00,245714.00,114205.00,23293.00
cameroon,Yaounde 2,Dec/21,106777,150,150,119,121,116,99,373655.00,886732.00,101828.00,11875.00
cameroon,Yaounde 3,Jan/21,69038,100,150,74,126,72,109,259787.00,593152.00,93458.00,12728.00
cameroon,Yaounde 3,Feb/21,69038,100,200,83,170,83,157,236104.00,580816.00,84151.00,55115.00
cameroon,Yaounde 3,Mar/21,69038,150,150,136,142,115,130,250406.00,575958.00,76061.00,64947.00
cameroon,Yaounde 3,Apr/21,69038,150,200,144,190,137,173,489074.00,1111549.00,92273.00,74357.00
cameroon,Yaounde 3,May/21,69038,200,100,196,74,167,73,345686.00,816288.00,104322.00,8665.00
cameroon,Yaounde 3,Jun/21,69038,200,100,182,90,162,84,428710.00,858428.00,103408.00,34119.00
cameroon,Yaounde 3,Jul/21,69038,200,100,194,88,184,88,380720.00,928962.00,82547.00,66253.00
cameroon,Yaounde 3,Aug/21,69038,150,150,147,147,133,136,450367.00,1120323.00,97382.00,13608.00
cameroon,Yaounde 3,Sep/21,69038,150,200,142,157,124,129,453392.00,1101629.00,82034.00,50802.00
cameroon,Yaounde 3,Oct/21,69038,150,200,128,175,128,157,418979.00,901088.00,102990.00,29055.00
cameroon,Yaounde 3,Nov/21,69038,200,100,161,91,132,79,331983.00,739364.00,99333.00,71673.00
cameroon,Yaounde 3,Dec/21,69038,200,150,199,138,173,128,106445.00,238396.00,104713.00,44994.00
cameroon,Yaounde 4,Jan/21,115134,100,200,88,147,88,145,143074.00,297775.00,140186.00,65111.00
cameroon,Yaounde 4,Feb/21,115134,150,200,120,199,118,189,157891.00,392667.00,111050.00,74809.00
cameroon,Yaounde 4,Mar/21,115134,150,100,115,87,114,86,170156.00,347274.00,122841.00,18466.00
cameroon,Yaounde 4,Apr/21,115134,200,200,168,187,153,165,183678.00,392910.00,125927.00,69112.00
cameroon,Yaounde 4,May/21,115134,200,100,186,77,167,67,248639.00,585062.00,141514.00,9582.00
cameroon,Yaounde 4,Jun/21,115134,150,150,146,127,140,110,153777.00,383281.00,145485.00,46359.00
cameroon,Yaounde 4,Jul/21,115134,100,200,97,200,92,198,457280.00,1054290.00,108548.00,30636.00
cameroon,Yaounde 4,Aug/21,115134,150,200,149,163,136,149,321548.00,696094.00,107054.00,31460.00
cameroon,Yaounde 4,Sep/21,115134,200,100,176,77,148,66,173658.00,385605.00,140892.00,9227.00
cameroon,Yaounde 4,Oct/21,115134,200,200,191,190,186,160,434125.00,1009480.00,134684.00,62882.00
cameroon,Yaounde 4,Nov/21,115134,150,100,120,96,119,91,148147.00,369179.00,155590.00,63669.00
cameroon,Yaounde 4,Dec/21,115134,100,150,99,118,88,102,310603.00,658080.00,106961.00,31322.00
cameroon,Yaounde 5,Jan/21,35219,150,100,110,88,89,85,139138.00,344773.00,38036.00,64879.00
cameroon,Yaounde 5,Feb/21,35219,200,150,177,125,159,114,311885.00,724707.00,42212.00,4069.00
cameroon,Yaounde 5,Mar/21,35219,100,100,80,85,74,69,198679.00,487369.00,49064.00,80590.00
cameroon,Yaounde 5,Apr/21,35219,150,200,136,144,123,115,429984.00,1019581.00,49789.00,77006.00
cameroon,Yaounde 5,May/21,35219,150,200,126,155,119,146,328979.00,715204.00,49289.00,47055.00
cameroon,Yaounde 5,Jun/21,35219,100,150,84,133,79,114,446757.00,1003057.00,34744.00,45385.00
cameroon,Yaounde 5,Jul/21,35219,150,150,129,108,124,90,145011.00,342394.00,35816.00,33053.00
cameroon,Yaounde 5,Aug/21,35219,100,100,73,95,62,85,472223.00,1105883.00,48135.00,17321.00
cameroon,Yaounde 5,Sep/21,35219,200,150,162,125,159,104,134290.00,284224.00,37640.00,80705.00
cameroon,Yaounde 5,Oct/21,35219,150,200,134,153,130,128,442780.00,1072472.00,36578.00,53322.00
cameroon,Yaounde 5,Nov/21,35219,100,150,89,142,86,128,227162.00,561460.00,42267.00,28694.00
cameroon,Yaounde 5,Dec/21,35219,150,100,125,73,117,68,145730.00,293724.00,48924.00,34738.00
cameroon,Yaounde 6,Jan/21,64486,150,150,126,130,107,116,254595.00,568565.00,56001.00,56620.00
cameroon,Yaounde 6,Feb/21,64486,150,100,113,76,102,61,165274.00,410435.00,57980.00,33078.00
cameroon,Yaounde 6,Mar/21,64486,200,200,181,176,177,166,327201.00,745826.00,58228.00,21050.00
cameroon,Yaounde 6,Apr/21,64486,200,100,173,71,162,64,429573.00,897022.00,57711.00,21636.00
cameroon,Yaounde 6,May/21,64486,100,200,94,190,82,176,304107.00,609588.00,65011.00,85841.00
cameroon,Yaounde 6,Jun/21,64486,150,150,127,129,117,114,460552.00,956304.00,64989.00,8858.00
cameroon,Yaounde 6,Jul/21,64486,200,200,156,179,130,178,227562.00,531420.00,65526.00,17388.00
cameroon,Yaounde 6,Aug/21,64486,200,100,200,75,189,60,376580.00,932821.00,73742.00,30550.00
cameroon,Yaounde 6,Sep/21,64486,150,150,114,147,96,127,131833.00,272805.00,62473.00,83674.00
cameroon,Yaounde 6,Oct/21,64486,100,200,87,144,81,120,246336.00,601513.00,66405.00,36055.00
cameroon,Yaounde 6,Nov/21,64486,150,100,114,93,110,86,154548.00,348121.00,58905.00,35366.00
cameroon,Yaounde 6,Dec/21,64486,200,150,148,112,144,105,322876.00,709796.00,72405.00,35073.00
cameroon,Yaounde 7,Jan/21,35850,200,100,185,85,165,76,227264.00,545364.00,42439.00,75996.00
cameroon,Yaounde 7,Feb/21,35850,100,100,82,89,69,88,445544.00,1106298.00,43601.00,8928.00
cameroon,Yaounde 7,Mar/21,35850,200,200,183,154,157,140,289584.00,676768.00,34370.00,7317.00
cameroon,Yaounde 7,Apr/21,35850,150,200,116,142,95,133,428650.00,995099.00,42476.00,53237.00
cameroon,Yaounde 7,May/21,35850,200,200,171,169,146,169,491427.00,989813.00,34646.00,38374.00
cameroon,Yaounde 7,Jun/21,35850,100,200,95,167,87,136,394830.00,903218.00,39104.00,62479.00
cameroon,Yaounde 7,Jul/21,35850,100,150,98,116,89,95,325215.00,790888.00,35415.00,34648.00
cameroon,Yaounde 7,Aug/21,35850,150,100,148,84,127,79,246455.00,608398.00,41495.00,55689.00
cameroon,Yaounde 7,Sep/21,35850,100,100,89,84,85,83,215924.00,453358.00,44006.00,29513.00
cameroon,Yaounde 7,Oct/21,35850,150,100,149,73,139,73,427886.00,934122.00,43576.00,84064.00
cameroon,Yaounde 7,Nov/21,35850,100,150,79,115,69,107,413945.00,1011008.00,35550.00,16831.00
cameroon,Yaounde 7,Dec/21,35850,150,200,126,186,123,183,248440.00,586822.00,44300.00,52483.00
cameroon,Yaounde 1,Jan/22,263169,200,100,186,95,163,78,236020.00,502780.00,252140.00,17484.00
cameroon,Yaounde 1,Feb/22,263169,100,150,87,123,71,108,330928.00,689812.00,236534.00,47058.00
cameroon,Yaounde 1,Mar/22,263169,200,150,152,110,134,105,479328.00,1122767.00,278015.00,11888.00
cameroon,Yaounde 1,Apr/22,263169,200,150,161,119,150,107,285278.00,572637.00,278399.00,63427.00
cameroon,Yaounde 1,May/22,263169,150,150,133,119,112,105,202818.00,409800.00,295791.00,62601.00
cameroon,Yaounde 1,Jun/22,263169,200,150,195,110,195,108,488384.00,1147388.00,286597.00,72274.00
cameroon,Yaounde 1,Jul/22,263169,100,100,92,92,77,91,197855.00,445383.00,248915.00,24660.00
cameroon,Yaounde 1,Aug/22,263169,150,150,135,113,130,99,326069.00,767727.00,299790.00,63642.00
cameroon,Yaounde 1,Sep/22,263169,200,200,161,167,153,134,174261.00,429213.00,248700.00,70115.00
cameroon,Yaounde 1,Oct/22,263169,100,150,89,135,84,134,268311.00,621807.00,318356.00,22938.00
cameroon,Yaounde 1,Nov/22,263169,150,150,110,129,92,116,451147.00,1009569.00,260059.00,92334.00
cameroon,Yaounde 1,Dec/22,263169,100,100,90,75,73,74,209278.00,518966.00,298309.00,74528.00
cameroon,Yaounde 2,Jan/22,114396,200,150,169,111,166,110,213495.00,439874.00,111392.00,11225.00
cameroon,Yaounde 2,Feb/22,114396,200,150,166,136,141,123,162756.00,372018.00,112639.00,65387.00
cameroon,Yaounde 2,Mar/22,114396,100,200,81,179,80,161,108852.00,226422.00,100706.00,30667.00
cameroon,Yaounde 2,Apr/22,114396,200,200,159,164,149,140,398591.00,916941.00,109256.00,69990.00
cameroon,Yaounde 2,May/22,114396,200,200,153,150,140,129,480310.00,1075050.00,108560.00,60551.00
cameroon,Yaounde 2,Jun/22,114396,150,200,117,151,102,133,121042.00,287083.00,127756.00,33165.00
cameroon,Yaounde 2,Jul/22,114396,150,100,119,82,117,70,465828.00,1053069.00,98087.00,95136.00
cameroon,Yaounde 2,Aug/22,114396,150,200,120,158,116,155,399843.00,946231.00,107228.00,20332.00
cameroon,Yaounde 2,Sep/22,114396,150,100,127,94,114,88,429923.00,908631.00,94012.00,52797.00
cameroon,Yaounde 2,Oct/22,114396,200,150,147,140,122,123,480849.00,1179955.00,125883.00,79963.00
cameroon,Yaounde 2,Nov/22,114396,150,100,135,91,131,91,259050.00,635404.00,130831.00,4857.00
cameroon,Yaounde 2,Dec/22,114396,150,100,112,70,108,62,196614.00,394200.00,111178.00,35409.00
cameroon,Yaounde 3,Jan/22,72436,150,150,149,107,140,94,212893.00,471210.00,84392.00,8538.00
cameroon,Yaounde 3,Feb/22,72436,150,150,134,144,120,117,359955.00,851622.00,61017.00,61470.00
cameroon,Yaounde 3,Mar/22,72436,150,150,124,135,115,128,490391.00,1097648.00,81644.00,38450.00
cameroon,Yaounde 3,Apr/22,72436,150,100,120,73,117,64,423556.00,871641.00,68741.00,51316.00
cameroon,Yaounde 3,May/22,72436,100,150,70,115,68,107,184351.00,376079.00,79753.00,13059.00
cameroon,Yaounde 3,Jun/22,72436,200,100,155,75,144,68,246606.00,542144.00,74322.00,41144.00
cameroon,Yaounde 3,Jul/22,72436,100,200,81,154,75,131,459742.00,958591.00,68251.00,70223.00
cameroon,Yaounde 3,Aug/22,72436,150,200,137,184,120,183,273497.00,558063.00,89202.00,28554.00
cameroon,Yaounde 3,Sep/22,72436,150,150,130,142,106,120,355619.00,835799.00,81293.00,24486.00
cameroon,Yaounde 3,Oct/22,72436,150,100,146,78,119,73,345824.00,835812.00,64880.00,16623.00
cameroon,Yaounde 3,Nov/22,72436,200,100,181,83,147,70,422768.00,951787.00,72966.00,15884.00
cameroon,Yaounde 3,Dec/22,72436,100,100,77,80,63,66,149685.00,352170.00,85473.00,7542.00
cameroon,Yaounde 4,Jan/22,118103,200,200,145,196,140,178,292672.00,592161.00,153703.00,10878.00
cameroon,Yaounde 4,Feb/22,118103,200,100,164,79,134,78,406458.00,821693.00,139863.00,26400.00
cameroon,Yaounde 4,Mar/22,118103,100,100,83,71,68,57,413908.00,999438.00,148696.00,59972.00
cameroon,Yaounde 4,Apr/22,118103,150,200,110,149,106,143,350395.00,701623.00,150014.00,41186.00
cameroon,Yaounde 4,May/22,118103,150,150,127,138,102,128,482941.00,1005997.00,139452.00,29771.00
cameroon,Yaounde 4,Jun/22,118103,200,150,177,127,169,124,354639.00,731195.00,132767.00,73504.00
cameroon,Yaounde 4,Jul/22,118103,200,100,193,72,167,70,451882.00,961981.00,135330.00,46167.00
cameroon,Yaounde 4,Aug/22,118103,200,200,151,185,144,183,416582.00,904280.00,126956.00,39762.00
cameroon,Yaounde 4,Sep/22,118103,150,150,123,144,103,129,353062.00,869324.00,157948.00,64186.00
cameroon,Yaounde 4,Oct/22,118103,150,100,140,98,127,86,110382.00,225359.00,112458.00,21617.00
cameroon,Yaounde 4,Nov/22,118103,150,150,119,136,97,121,262189.00,575923.00,133639.00,75854.00
cameroon,Yaounde 4,Dec/22,118103,100,100,89,85,76,77,311408.00,685701.00,138382.00,28469.00
cameroon,Yaounde 5,Jan/22,36224,150,150,130,138,110,115,471216.00,1057100.00,42613.00,68913.00
cameroon,Yaounde 5,Feb/22,36224,200,100,173,73,172,60,252583.00,589276.00,37984.00,80931.00
cameroon,Yaounde 5,Mar/22,36224,200,200,149,165,134,135,381526.00,902908.00,50065.00,19768.00
cameroon,Yaounde 5,Apr/22,36224,200,150,189,133,181,114,302488.00,729502.00,41592.00,9068.00
cameroon,Yaounde 5,May/22,36224,150,100,137,74,130,68,213195.00,531087.00,36021.00,85022.00
cameroon,Yaounde 5,Jun/22,36224,200,100,154,72,139,60,406937.00,962899.00,34388.00,40776.00
cameroon,Yaounde 5,Jul/22,36224,200,200,145,191,133,178,169494.00,365033.00,45536.00,56090.00
cameroon,Yaounde 5,Aug/22,36224,200,200,193,187,158,176,206298.00,452589.00,49102.00,67293.00
cameroon,Yaounde 5,Sep/22,36224,150,150,113,117,98,102,264769.00,627493.00,44665.00,51791.00
cameroon,Yaounde 5,Oct/22,36224,150,100,148,99,129,88,292703.00,695454.00,37286.00,16396.00
cameroon,Yaounde 5,Nov/22,36224,150,100,111,81,109,79,437923.00,893613.00,38456.00,20967.00
cameroon,Yaounde 5,Dec/22,36224,200,150,162,125,139,108,456533.00,927441.00,35276.00,8175.00
cameroon,Yaounde 6,Jan/22,67357,150,100,136,72,115,58,210332.00,453696.00,70555.00,55662.00
cameroon,Yaounde 6,Feb/22,67357,200,150,145,118,116,100,376300.00,758088.00,75853.00,40783.00
cameroon,Yaounde 6,Mar/22,67357,200,150,175,139,152,116,232377.00,504408.00,97134.00,32464.00
cameroon,Yaounde 6,Apr/22,67357,100,100,98,91,90,81,203169.00,495719.00,82120.00,45425.00
cameroon,Yaounde 6,May/22,67357,200,150,190,109,171,103,333494.00,720967.00,98997.00,89113.00
cameroon,Yaounde 6,Jun/22,67357,150,200,114,165,103,154,251588.00,585674.00,78287.00,99199.00
cameroon,Yaounde 6,Jul/22,67357,100,100,87,74,74,64,307381.00,762406.00,81891.00,62104.00
cameroon,Yaounde 6,Aug/22,67357,100,100,95,72,93,63,432794.00,882749.00,83899.00,69289.00
cameroon,Yaounde 6,Sep/22,67357,150,200,143,166,143,165,419272.00,901454.00,76736.00,69773.00
cameroon,Yaounde 6,Oct/22,67357,150,200,120,200,109,177,406895.00,875831.00,88603.00,52510.00
cameroon,Yaounde 6,Nov/22,67357,150,100,126,73,124,59,472262.00,949429.00,75330.00,64748.00
cameroon,Yaounde 6,Dec/22,67357,150,150,134,141,123,113,408514.00,873022.00,84937.00,19714.00
cameroon,Yaounde 7,Jan/22,39099,150,100,111,83,92,79,166032.00,381872.00,43972.00,56840.00
cameroon,Yaounde 7,Feb/22,39099,150,150,128,149,118,137,102424.00,206822.00,49050.00,47280.00
cameroon,Yaounde 7,Mar/22,39099,100,200,76,150,75,130,285688.00,669390.00,45693.00,35687.00
cameroon,Yaounde 7,Apr/22,39099,100,200,82,170,74,162,276601.00,619206.00,44219.00,34717.00
cameroon,Yaounde 7,May/22,39099,100,100,74,88,63,75,179111.00,360344.00,38863.00,20578.00
cameroon,Yaounde 7,Jun/22,39099,200,200,183,183,154,149,328529.00,680560.00,52614.00,17794.00
cameroon,Yaounde 7,Jul/22,39099,200,200,196,148,174,132,181920.00,404350.00,40253.00,46213.00
cameroon,Yaounde 7,Aug/22,39099,100,100,97,91,82,79,199841.00,411498.00,44980.00,39083.00
cameroon,Yaounde 7,Sep/22,39099,100,150,78,148,73,122,223987.00,448548.00,37379.00,34575.00
cameroon,Yaounde 7,Oct/22,39099,200,100,176,93,175,82,458885.00,1042132.00,43631.00,49574.00
cameroon,Yaounde 7,Nov/22,39099,150,200,130,196,123,168,267523.00,548400.00,50044.00,32421.00
cameroon,Yaounde 7,Dec/22,39099,200,100,196,75,165,67,218414.00,482383.00,36863.00,72085.00
cameroon,Yaounde 1,Jan/23,278116,100,100,86,99,79,91,202298.00,437847.00,327842.00,25420.00
cameroon,Yaounde 1,Feb/23,278116,200,150,160,130,155,118,142470.00,289407.00,329259.00,36456.00
cameroon,Yaounde 1,Mar/23,278116,100,100,90,88,89,81,123541.00,300936.00,265168.00,15198.00
