country,zone,date_MMYY,households,sewer_connections,public_toilets,workforce,f_workforce,ww_collected,ww_treated,ww_reused,w_supplied,hh_emptied,fs_treated,fs_reused
cameroon,Yaounde 3,Aug/20,65180,4041,38,26,9,38708.00,24269.00,15877.00,483312.00,14755.00,129646.00,78620.00
cameroon,Yaounde 3,Sep/20,65180,4041,41,25,8,25251.00,12931.00,8956.00,455990.00,10897.00,108976.00,71143.00
cameroon,Yaounde 3,Oct/20,65180,4041,38,26,7,91066.00,46881.00,32582.00,299760.00,9374.00,21691.00,15729.00
cameroon,Yaounde 3,Nov/20,65180,4041,43,25,9,20448.00,10430.00,7790.00,449040.00,13992.00,124881.00,77624.00
cameroon,Yaounde 3,Dec/20,65180,4041,43,24,9,40737.00,31550.00,23712.00,281208.00,11594.00,138931.00,98200.00
cameroon,Yaounde 4,Jan/20,108511,4780,94,39,7,81929.00,45696.00,35013.00,454103.00,11331.00,128470.00,100123.00
cameroon,Yaounde 4,Feb/20,108511,4780,89,42,4,69852.00,50155.00,29196.00,278433.00,17728.00,191893.00,152686.00
cameroon,Yaounde 4,Mar/20,108511,4780,92,41,4,93069.00,55282.00,42234.00,474316.00,12219.00,152522.00,98871.00
cameroon,Yaounde 4,Apr/20,108511,4780,90,39,6,65227.00,33585.00,18672.00,357603.00,23921.00,58527.00,46306.00
cameroon,Yaounde 4,May/20,108511,4780,89,39,7,27566.00,18178.00,11995.00,207700.00,15481.00,129899.00,102253.00
cameroon,Yaounde 4,Jun/20,108511,4780,89,40,4,36125.00,23141.00,14710.00,252535.00,20094.00,77280.00,55570.00
cameroon,Yaounde 4,Jul/20,108511,4780,92,42,5,47926.00,36256.00,20321.00,495804.00,17798.00,100977.00,72940.00
cameroon,Yaounde 4,Aug/20,108511,4780,91,40,7,61750.00,32685.00,23749.00,131373.00,20350.00,174666.00,133173.00
cameroon,Yaounde 4,Sep/20,108511,4780,90,39,5,26995.00,17851.00,12933.00,136415.00,14012.00,29880.00,18930.00
cameroon,Yaounde 4,Oct/20,108511,4780,92,41,7,87530.00,57227.00,28958.00,177261.00,17089.00,33693.00,23900.00
cameroon,Yaounde 4,Nov/20,108511,4780,91,42,3,47933.00,33928.00,26816.00,130830.00,13092.00,34637.00,22479.00
cameroon,Yaounde 4,Dec/20,108511,4780,94,39,7,19000.00,11448.00,7088.00,472746.00,19750.00,165079.00,130149.00
cameroon,Yaounde 5,Jan/20,33711,1397,60,41,8,69983.00,47314.00,33024.00,453854.00,6919.00,130116.00,85428.00
cameroon,Yaounde 5,Feb/20,33711,1397,60,40,10,93707.00,68832.00,44571.00,247566.00,4818.00,182335.00,143085.00
cameroon,Yaounde 5,Mar/20,33711,1397,60,38,9,12035.00,8868.00,7054.00,261946.00,7562.00,21266.00,13010.00
cameroon,Yaounde 5,Apr/20,33711,1397,64,38,9,91797.00,47680.00,24601.00,462244.00,7590.00,123024.00,75628.00
cameroon,Yaounde 5,May/20,33711,1397,61,38,9,25067.00,19117.00,13970.00,308153.00,6784.00,47581.00,35963.00
cameroon,Yaounde 5,Jun/20,33711,1397,60,41,11,33529.00,24082.00,14144.00,148918.00,7011.00,195714.00,124334.00
cameroon,Yaounde 5,Jul/20,33711,1397,63,38,9,92340.00,73743.00,52712.00,202500.00,4946.00,157924.00,105871.00
cameroon,Yaounde 5,Aug/20,33711,1397,62,41,8,96558.00,74714.00,57381.00,303423.00,8210.00,101599.00,70460.00
cameroon,Yaounde 5,Sep/20,33711,1397,63,39,11,47106.00,31153.00,24769.00,145536.00,4016.00,11296.00,8762.00
cameroon,Yaounde 5,Oct/20,33711,1397,60,41,10,71172.00,35828.00,20345.00,345791.00,5490.00,10452.00,7681.00
cameroon,Yaounde 5,Nov/20,33711,1397,60,40,8,7390.00,5194.00,3317.00,260425.00,5407.00,39806.00,28141.00
cameroon,Yaounde 5,Dec/20,33711,1397,62,41,9,24941.00,19521.00,12760.00,398070.00,6969.00,184045.00,113239.00
cameroon,Yaounde 6,Jan/20,61508,4330,76,27,15,42329.00,29259.00,20822.00,466542.00,6466.00,51326.00,36072.00
cameroon,Yaounde 6,Feb/20,61508,4330,80,30,12,51848.00,36426.00,18288.00,461646.00,7844.00,115301.00,79087.00
cameroon,Yaounde 6,Mar/20,61508,4330,78,30,14,26559.00,19966.00,14039.00,373638.00,10792.00,147202.00,93679.00
cameroon,Yaounde 6,Apr/20,61508,4330,80,30,11,14117.00,7683.00,3847.00,153168.00,8692.00,44857.00,31968.00
cameroon,Yaounde 6,May/20,61508,4330,77,28,11,43488.00,33544.00,24739.00,325000.00,11718.00,185164.00,142705.00
cameroon,Yaounde 6,Jun/20,61508,4330,79,29,11,87850.00,47954.00,26568.00,476042.00,10592.00,63775.00,48503.00
cameroon,Yaounde 6,Jul/20,61508,4330,78,28,14,66437.00,33923.00,17015.00,305472.00,10308.00,168716.00,123061.00
cameroon,Yaounde 6,Aug/20,61508,4330,75,30,12,15127.00,11669.00,7579.00,439027.00,6659.00,177771.00,136291.00
cameroon,Yaounde 6,Sep/20,61508,4330,77,28,11,14317.00,8162.00,5295.00,356265.00,12291.00,165371.00,99466.00
cameroon,Yaounde 6,Oct/20,61508,4330,76,30,12,63933.00,43523.00,31515.00,450784.00,13158.00,137115.00,107379.00
cameroon,Yaounde 6,Nov/20,61508,4330,80,30,15,23804.00,18127.00,10627.00,283358.00,13621.00,59247.00,36728.00
cameroon,Yaounde 6,Dec/20,61508,4330,80,30,13,36341.00,28310.00,17122.00,113273.00,6357.00,111187.00,67168.00
cameroon,Yaounde 7,Jan/20,35264,1932,41,33,6,78344.00,57546.00,44402.00,439604.00,5089.00,110217.00,75730.00
cameroon,Yaounde 7,Feb/20,35264,1932,44,35,5,56402.00,39783.00,20597.00,194931.00,4514.00,181728.00,121374.00
cameroon,Yaounde 7,Mar/20,35264,1932,44,32,4,26419.00,16419.00,10250.00,144311.00,8118.00,106146.00,77347.00
cameroon,Yaounde 7,Apr/20,35264,1932,45,32,5,75135.00,38024.00,21451.00,416435.00,7709.00,169888.00,127501.00
cameroon,Yaounde 7,May/20,35264,1932,46,32,4,45398.00,29863.00,23235.00,296605.00,4866.00,85810.00,58894.00
cameroon,Yaounde 7,Jun/20,35264,1932,43,33,5,51827.00,38110.00,21843.00,188997.00,6014.00,74724.00,55426.00
cameroon,Yaounde 7,Jul/20,35264,1932,42,34,7,36383.00,21763.00,12867.00,447002.00,3613.00,150004.00,107675.00
cameroon,Yaounde 7,Aug/20,35264,1932,42,32,6,94458.00,52275.00,41556.00,343099.00,6694.00,80252.00,63887.00
cameroon,Yaounde 7,Sep/20,35264,1932,43,35,8,62793.00,43648.00,30500.00,376129.00,6008.00,61684.00,45656.00
cameroon,Yaounde 7,Oct/20,35264,1932,44,32,5,87738.00,47649.00,25333.00,405397.00,7100.00,174556.00,108225.00
cameroon,Yaounde 7,Nov/20,35264,1932,41,34,4,81423.00,49980.00,29595.00,334661.00,6763.00,72395.00,57618.00
cameroon,Yaounde 7,Dec/20,35264,1932,46,34,8,66515.00,35810.00,24117.00,198330.00,3838.00,193573.00,133726.00
cameroon,Yaounde 1,Jan/21,255602,18992,74,34,15,49799.00,29539.00,14800.00,192801.00,31526.00,165579.00,115654.00
cameroon,Yaounde 1,Feb/21,255602,18992,70,33,16,11955.00,8162.00,6382.00,129253.00,29662.00,147867.00,108700.00
cameroon,Yaounde 1,Mar/21,255602,18992,72,33,14,42076.00,28154.00,21460.00,461963.00,60954.00,36087.00,25723.00
cameroon,Yaounde 1,Apr/21,255602,18992,72,32,18,41221.00,24448.00,12770.00,324607.00,27220.00,162798.00,120129.00
cameroon,Yaounde 1,May/21,255602,18992,69,32,14,48305.00,30679.00,20897.00,162662.00,35452.00,118513.00,77657.00
cameroon,Yaounde 1,Jun/21,255602,18992,72,35,14,10246.00,8110.00,6415.00,238411.00,28672.00,47593.00,34352.00
cameroon,Yaounde 1,Jul/21,255602,18992,70,32,17,17687.00,9428.00,6908.00,232882.00,53842.00,85689.00,55063.00
cameroon,Yaounde 1,Aug/21,255602,18992,73,32,18,42475.00,22101.00,13342.00,387872.00,26295.00,95051.00,75933.00
cameroon,Yaounde 1,Sep/21,255602,18992,73,34,14,79797.00,47163.00,33824.00,326953.00,43643.00,104455.00,64346.00
cameroon,Yaounde 1,Oct/21,255602,18992,73,34,15,51065.00,29459.00,20070.00,174786.00,51416.00,111588.00,80206.00
cameroon,Yaounde 1,Nov/21,255602,18992,69,32,18,58634.00,40773.00,31572.00,293350.00,39269.00,162255.00,112982.00
cameroon,Yaounde 1,Dec/21,255602,18992,72,34,15,65451.00,35268.00,27940.00,164227.00,62234.00,190654.00,123696.00
cameroon,Yaounde 2,Jan/21,106777,7971,70,38,8,35154.00,20080.00,10469.00,118446.00,17825.00,110390.00,68939.00
cameroon,Yaounde 2,Feb/21,106777,7971,71,39,5,14174.00,10598.00,6392.00,486764.00,21819.00,152711.00,101860.00
cameroon,Yaounde 2,Mar/21,106777,7971,73,39,6,66140.00,50667.00,37284.00,467396.00,26167.00,196395.00,135636.00
cameroon,Yaounde 2,Apr/21,106777,7971,72,38,6,57202.00,33624.00,24746.00,187015.00,13438.00,24557.00,18237.00
cameroon,Yaounde 2,May/21,106777,7971,72,38,9,76143.00,49820.00,31605.00,341202.00,21923.00,64756.00,46428.00
cameroon,Yaounde 2,Jun/21,106777,7971,71,39,5,28770.00,20567.00,15523.00,216938.00,13260.00,162561.00,112187.00
cameroon,Yaounde 2,Jul/21,106777,7971,71,39,8,84914.00,53300.00,31389.00,231939.00,15763.00,89578.00,56925.00
cameroon,Yaounde 2,Aug/21,106777,7971,68,39,6,5294.00,3459.00,1902.00,321397.00,17983.00,179084.00,110388.00
cameroon,Yaounde 2,Sep/21,106777,7971,72,38,6,20052.00,15549.00,8440.00,172225.00,19878.00,166466.00,119342.00
cameroon,Yaounde 2,Oct/21,106777,7971,71,38,6,41769.00,21129.00,16538.00,260896.00,12102.00,26923.00,16513.00
cameroon,Yaounde 2,Nov/21,106777,7971,73,36,9,28579.00,18284.00,10975.00,117403.00,23043.00,92510.00,55680.00
cameroon,Yaounde 2,Dec/21,106777,7971,71,36,7,17677.00,9537.00,7362.00,373655.00,15401.00,19179.00,13223.00
cameroon,Yaounde 3,Jan/21,69038,3559,82,48,18,15362.00,10117.00,7133.00,259787.00,15947.00,43198.00,28398.00
cameroon,Yaounde 3,Feb/21,69038,3559,86,46,16,74333.00,44310.00,26710.00,236104.00,15926.00,113991.00,89459.00
cameroon,Yaounde 3,Mar/21,69038,3559,87,45,18,79614.00,51513.00,38580.00,250406.00,10159.00,197531.00,133658.00
cameroon,Yaounde 3,Apr/21,69038,3559,84,46,16,91277.00,61799.00,48449.00,489074.00,17027.00,190682.00,146885.00
cameroon,Yaounde 3,May/21,69038,3559,85,45,15,9228.00,6943.00,5414.00,345686.00,15139.00,15832.00,11032.00
cameroon,Yaounde 3,Jun/21,69038,3559,85,45,17,41038.00,27348.00,15155.00,428710.00,12026.00,112839.00,89683.00
cameroon,Yaounde 3,Jul/21,69038,3559,82,47,17,95409.00,53115.00,33328.00,380720.00,8025.00,141665.00,88898.00
cameroon,Yaounde 3,Aug/21,69038,3559,87,47,18,14848.00,10912.00,6678.00,450367.00,16900.00,69591.00,50433.00
cameroon,Yaounde 3,Sep/21,69038,3559,82,45,18,55406.00,40121.00,27578.00,453392.00,11635.00,146947.00,92619.00
cameroon,Yaounde 3,Oct/21,69038,3559,84,48,18,37700.00,22424.00,14400.00,418979.00,13494.00,91658.00,61263.00
cameroon,Yaounde 3,Nov/21,69038,3559,83,46,16,87893.00,57203.00,37124.00,331983.00,9799.00,126551.00,97962.00
cameroon,Yaounde 3,Dec/21,69038,3559,82,48,18,50369.00,35267.00,22812.00,106445.00,9381.00,121600.00,80630.00
cameroon,Yaounde 4,Jan/21,115134,5041,77,21,7,89397.00,53078.00,39401.00,143074.00,21293.00,68623.00,52648.00
cameroon,Yaounde 4,Feb/21,115134,5041,74,22,7,76008.00,57978.00,34482.00,157891.00,13682.00,49213.00,34008.00
cameroon,Yaounde 4,Mar/21,115134,5041,75,22,7,22289.00,14433.00,10604.00,170156.00,18098.00,89643.00,63237.00
cameroon,Yaounde 4,Apr/21,115134,5041,72,22,7,82771.00,54719.00,33329.00,183678.00,17161.00,8038.00,5454.00
cameroon,Yaounde 4,May/21,115134,5041,74,21,6,13351.00,7985.00,4674.00,248639.00,27316.00,35971.00,28131.00
cameroon,Yaounde 4,Jun/21,115134,5041,76,21,5,72969.00,37095.00,25847.00,153777.00,22694.00,110090.00,70618.00
cameroon,Yaounde 4,Jul/21,115134,5041,77,23,5,31185.00,23621.00,14556.00,457280.00,13992.00,113475.00,72536.00
cameroon,Yaounde 4,Aug/21,115134,5041,76,22,6,42516.00,24826.00,19693.00,321548.00,15818.00,74790.00,52220.00
cameroon,Yaounde 4,Sep/21,115134,5041,72,21,9,12204.00,7678.00,4115.00,173658.00,25777.00,153147.00,117247.00
cameroon,Yaounde 4,Oct/21,115134,5041,74,22,9,98613.00,51465.00,35121.00,434125.00,28385.00,154851.00,120193.00
cameroon,Yaounde 4,Nov/21,115134,5041,72,23,6,69516.00,50613.00,31349.00,148147.00,27897.00,162530.00,117851.00
cameroon,Yaounde 4,Dec/21,115134,5041,75,22,7,31863.00,24753.00,14246.00,310603.00,14682.00,177017.00,137843.00
cameroon,Yaounde 5,Jan/21,35219,2550,34,42,17,86164.00,51337.00,31280.00,139138.00,3838.00,8446.00,5419.00
cameroon,Yaounde 5,Feb/21,35219,2550,30,43,20,5399.00,3379.00,1907.00,311885.00,8164.00,14710.00,8828.00
cameroon,Yaounde 5,Mar/21,35219,2550,31,43,20,97726.00,65522.00,44273.00,198679.00,5790.00,178418.00,111718.00
cameroon,Yaounde 5,Apr/21,35219,2550,30,42,17,76374.00,60227.00,47299.00,429984.00,5070.00,133253.00,86042.00
cameroon,Yaounde 5,May/21,35219,2550,34,45,18,61106.00,37005.00,23535.00,328979.00,7315.00,11952.00,9499.00
cameroon,Yaounde 5,Jun/21,35219,2550,31,43,18,54654.00,36639.00,19308.00,446757.00,4400.00,124473.00,90486.00
cameroon,Yaounde 5,Jul/21,35219,2550,31,44,17,39943.00,27241.00,16398.00,145011.00,3861.00,31644.00,23042.00
cameroon,Yaounde 5,Aug/21,35219,2550,30,44,19,20231.00,14006.00,8624.00,472223.00,6542.00,124261.00,88086.00
cameroon,Yaounde 5,Sep/21,35219,2550,33,44,20,87485.00,65068.00,51119.00,134290.00,8406.00,64660.00,39324.00
cameroon,Yaounde 5,Oct/21,35219,2550,34,45,16,62134.00,43454.00,24372.00,442780.00,7081.00,18968.00,12704.00
cameroon,Yaounde 5,Nov/21,35219,2550,35,44,20,28858.00,22288.00,15059.00,227162.00,4220.00,56432.00,42327.00
cameroon,Yaounde 5,Dec/21,35219,2550,33,43,19,46234.00,27061.00,16853.00,145730.00,7697.00,41335.00,29012.00
cameroon,Yaounde 6,Jan/21,64486,3169,47,37,18,63391.00,45542.00,31981.00,254595.00,9234.00,76296.00,56411.00
cameroon,Yaounde 6,Feb/21,64486,3169,49,37,20,43384.00,26677.00,14936.00,165274.00,15509.00,132036.00,89339.00
cameroon,Yaounde 6,Mar/21,64486,3169,49,39,20,26615.00,17220.00,11881.00,327201.00,13530.00,77638.00,58926.00
cameroon,Yaounde 6,Apr/21,64486,3169,51,39,19,24595.00,17565.00,12919.00,429573.00,14912.00,87204.00,67646.00
cameroon,Yaounde 6,May/21,64486,3169,46,37,18,96780.00,66217.00,46824.00,304107.00,11445.00,118481.00,79759.00
cameroon,Yaounde 6,Jun/21,64486,3169,50,36,17,12106.00,7288.00,3915.00,460552.00,14050.00,27785.00,17215.00
cameroon,Yaounde 6,Jul/21,64486,3169,48,37,16,26511.00,13721.00,9563.00,227562.00,6861.00,78463.00,55169.00
cameroon,Yaounde 6,Aug/21,64486,3169,47,39,19,38538.00,23643.00,13703.00,376580.00,14176.00,97271.00,62825.00
cameroon,Yaounde 6,Sep/21,64486,3169,51,38,19,94137.00,69666.00,40487.00,131833.00,14462.00,60143.00,38312.00
cameroon,Yaounde 6,Oct/21,64486,3169,51,39,20,44393.00,28775.00,22760.00,246336.00,9590.00,189208.00,130538.00
cameroon,Yaounde 6,Nov/21,64486,3169,46,37,16,46237.00,28543.00,14754.00,154548.00,6715.00,24680.00,17018.00
cameroon,Yaounde 6,Dec/21,64486,3169,51,38,18,40788.00,27577.00,19413.00,322876.00,7772.00,160403.00,98540.00
cameroon,Yaounde 7,Jan/21,35850,2669,34,39,10,80056.00,62578.00,45539.00,227264.00,4629.00,27777.00,20252.00
cameroon,Yaounde 7,Feb/21,35850,2669,36,38,9,11020.00,7366.00,4480.00,445544.00,5800.00,167545.00,114513.00
cameroon,Yaounde 7,Mar/21,35850,2669,36,38,9,7452.00,5656.00,3978.00,289584.00,8540.00,197053.00,149965.00
cameroon,Yaounde 7,Apr/21,35850,2669,39,39,10,71087.00,44239.00,28897.00,428650.00,3587.00,116792.00,78832.00
cameroon,Yaounde 7,May/21,35850,2669,35,37,12,50065.00,31018.00,18760.00,491427.00,7344.00,198807.00,132950.00
cameroon,Yaounde 7,Jun/21,35850,2669,38,37,9,81105.00,48964.00,32176.00,394830.00,7794.00,86293.00,62122.00
cameroon,Yaounde 7,Jul/21,35850,2669,38,39,11,37207.00,28840.00,19514.00,325215.00,5265.00,146660.00,97579.00
cameroon,Yaounde 7,Aug/21,35850,2669,38,36,13,83930.00,43174.00,34383.00,246455.00,7477.00,88971.00,66137.00
cameroon,Yaounde 7,Sep/21,35850,2669,39,39,9,34890.00,24411.00,12943.00,215924.00,3781.00,76206.00,46524.00
cameroon,Yaounde 7,Oct/21,35850,2669,39,36,12,88032.00,67091.00,38547.00,427886.00,7174.00,36349.00,23132.00
cameroon,Yaounde 7,Nov/21,35850,2669,38,36,11,19073.00,13013.00,6958.00,413945.00,4203.00,90230.00,58881.00
cameroon,Yaounde 7,Dec/21,35850,2669,39,38,9,68002.00,41808.00,31809.00,248440.00,5687.00,62222.00,43089.00
cameroon,Yaounde 1,Jan/22,263169,15003,51,25,12,21175.00,14257.00,8451.00,236020.00,53715.00,125801.00,96803.00
cameroon,Yaounde 1,Feb/22,263169,15003,51,24,10,62607.00,36846.00,27088.00,330928.00,49133.00,97108.00,58667.00
cameroon,Yaounde 1,Mar/22,263169,15003,52,25,10,14843.00,9804.00,7203.00,479328.00,40520.00,96233.00,76698.00
cameroon,Yaounde 1,Apr/22,263169,15003,56,26,10,67076.00,51456.00,35073.00,285278.00,46700.00,180239.00,111495.00
cameroon,Yaounde 1,May/22,263169,15003,51,23,14,82885.00,49971.00,34951.00,202818.00,57488.00,58149.00,44104.00
cameroon,Yaounde 1,Jun/22,263169,15003,53,23,14,78970.00,58051.00,29496.00,488384.00,61310.00,132626.00,82126.00
cameroon,Yaounde 1,Jul/22,263169,15003,51,23,13,31423.00,19728.00,13672.00,197855.00,26394.00,195886.00,150881.00
cameroon,Yaounde 1,Aug/22,263169,15003,52,25,11,83010.00,50922.00,38227.00,326069.00,46753.00,153961.00,118200.00
cameroon,Yaounde 1,Sep/22,263169,15003,52,23,12,88008.00,56289.00,31961.00,174261.00,61059.00,124326.00,97090.00
cameroon,Yaounde 1,Oct/22,263169,15003,53,23,13,32991.00,18294.00,9546.00,268311.00,40178.00,12568.00,7845.00
cameroon,Yaounde 1,Nov/22,263169,15003,51,26,10,93658.00,74197.00,43107.00,451147.00,38752.00,21963.00,13575.00
cameroon,Yaounde 1,Dec/22,263169,15003,54,26,14,76875.00,60938.00,31697.00,209278.00,35014.00,98477.00,63236.00
cameroon,Yaounde 2,Jan/22,114396,5549,47,46,9,13666.00,9152.00,4918.00,213495.00,19849.00,107321.00,83675.00
cameroon,Yaounde 2,Feb/22,114396,5549,50,46,7,67497.00,51552.00,39015.00,162756.00,28550.00,47030.00,30610.00
cameroon,Yaounde 2,Mar/22,114396,5549,51,44,9,39091.00,24971.00,19638.00,108852.00,25726.00,199506.00,158199.00
cameroon,Yaounde 2,Apr/22,114396,5549,49,46,7,72775.00,54848.00,38242.00,398591.00,20902.00,103298.00,62732.00
cameroon,Yaounde 2,May/22,114396,5549,48,46,9,81896.00,48015.00,29776.00,480310.00,24575.00,198770.00,146929.00
cameroon,Yaounde 2,Jun/22,114396,5549,49,45,8,36816.00,25521.00,19428.00,121042.00,21372.00,156891.00,104036.00
cameroon,Yaounde 2,Jul/22,114396,5549,50,44,8,97472.00,74701.00,58568.00,465828.00,27053.00,43946.00,34983.00
cameroon,Yaounde 2,Aug/22,114396,5549,46,44,7,28131.00,16473.00,8620.00,399843.00,13270.00,165255.00,120156.00
cameroon,Yaounde 2,Sep/22,114396,5549,49,47,5,63413.00,42227.00,30712.00,429923.00,14373.00,95907.00,60632.00
cameroon,Yaounde 2,Oct/22,114396,5549,49,47,9,95303.00,65194.00,43977.00,480849.00,24694.00,50745.00,31624.00
cameroon,Yaounde 2,Nov/22,114396,5549,47,47,8,5500.00,3770.00,2072.00,259050.00,12147.00,138503.00,103215.00
cameroon,Yaounde 2,Dec/22,114396,5549,49,44,7,36961.00,29357.00,22214.00,196614.00,26146.00,59911.00,46382.00
cameroon,Yaounde 3,Jan/22,72436,3046,26,28,9,10823.00,6960.00,3521.00,212893.00,8085.00,50034.00,33614.00
cameroon,Yaounde 3,Feb/22,72436,3046,26,26,10,85726.00,50284.00,34437.00,359955.00,7470.00,195724.00,145310.00
cameroon,Yaounde 3,Mar/22,72436,3046,29,28,10,60380.00,31177.00,21512.00,490391.00,10572.00,78888.00,51816.00
cameroon,Yaounde 3,Apr/22,72436,3046,24,26,10,52092.00,40379.00,22378.00,423556.00,9189.00,31521.00,19271.00
cameroon,Yaounde 3,May/22,72436,3046,25,29,13,20889.00,10446.00,8297.00,184351.00,10570.00,22349.00,14887.00
cameroon,Yaounde 3,Jun/22,72436,3046,29,27,12,64360.00,34026.00,24320.00,246606.00,13835.00,165447.00,121889.00
cameroon,Yaounde 3,Jul/22,72436,3046,25,26,9,83533.00,56673.00,32180.00,459742.00,12445.00,113907.00,81656.00
cameroon,Yaounde 3,Aug/22,72436,3046,24,29,10,36010.00,22358.00,16327.00,273497.00,15329.00,40819.00,30817.00
cameroon,Yaounde 3,Sep/22,72436,3046,26,28,11,36226.00,18902.00,9718.00,355619.00,15453.00,35939.00,21608.00
cameroon,Yaounde 3,Oct/22,72436,3046,24,27,13,16886.00,13304.00,7731.00,345824.00,15014.00,42298.00,27292.00
cameroon,Yaounde 3,Nov/22,72436,3046,29,26,11,25311.00,12802.00,8912.00,422768.00,7737.00,77848.00,53737.00
cameroon,Yaounde 3,Dec/22,72436,3046,29,26,13,10745.00,5999.00,4699.00,149685.00,8179.00,164366.00,115507.00
cameroon,Yaounde 4,Jan/22,118103,9193,16,29,8,11900.00,8932.00,6289.00,292672.00,20789.00,65966.00,50263.00
cameroon,Yaounde 4,Feb/22,118103,9193,18,27,10,31560.00,21607.00,11032.00,406458.00,12265.00,168738.00,101618.00
cameroon,Yaounde 4,Mar/22,118103,9193,15,27,10,75310.00,48122.00,27822.00,413908.00,13687.00,58237.00,38700.00
cameroon,Yaounde 4,Apr/22,118103,9193,18,27,8,53781.00,33851.00,24588.00,350395.00,20382.00,194235.00,146965.00
cameroon,Yaounde 4,May/22,118103,9193,18,28,9,44293.00,23684.00,15068.00,482941.00,18013.00,78779.00,48517.00
cameroon,Yaounde 4,Jun/22,118103,9193,17,28,10,81773.00,61010.00,33535.00,354639.00,11864.00,194638.00,144230.00
